timestamp_ms,total_time_us,preprocess_us,find_gap_us,find_best_point_us,control_us,scan_size,frequency_hz
1750577015550,110.710,12.9,5.0,4.0,1.6,1080,233.8
1750577015553,44.251,11.1,4.6,3.5,0.5,1080,331.7
1750577015557,52.459,11.5,4.8,3.9,0.8,1080,238.3
1750577015561,53.334,11.8,5.0,4.0,1.2,1080,239.4
1750577015565,52.584,11.7,5.0,3.8,1.5,1080,241.5
1750577015569,37.375,11.7,4.8,3.5,0.4,1080,226.6
1750577015585,52.334,12.1,4.9,3.8,1.5,1080,62.6
1750577015589,64.127,12.0,4.8,0.5,1.3,1080,276.0
1750577015593,44.376,11.7,4.9,0.7,1.2,1080,270.3
1750577015597,58.210,12.5,4.8,0.6,1.3,1080,249.8
1750577015600,31.042,11.0,4.5,0.2,0.3,1080,271.0
1750577015617,49.626,12.0,4.8,4.0,1.2,1080,59.1
1750577015621,43.292,12.0,4.7,0.4,1.1,1080,319.0
1750577015625,48.167,12.4,5.0,0.6,1.5,1080,238.6
1750577015637,54.376,12.5,5.0,3.7,1.2,1080,81.0
1750577015638,62.710,11.1,4.6,3.5,0.4,1080,2129.9
1750577015641,37.042,11.0,4.4,0.3,0.6,1080,330.9
1750577015645,40.501,11.3,4.8,0.5,1.0,1080,248.6
1750577015649,47.876,11.8,4.9,0.8,1.6,1080,206.2
1750577015653,38.751,11.2,4.5,0.3,0.7,1080,285.6
1750577015657,38.084,11.1,4.6,0.3,0.9,1080,242.0
1750577015661,54.460,11.9,5.1,0.9,1.7,1080,274.0
1750577015667,52.709,12.1,4.8,0.7,1.2,1080,167.7
1750577015669,46.209,11.4,4.8,0.5,1.0,1080,404.8
1750577015679,54.001,11.9,4.8,3.8,1.4,1080,97.6
1750577015681,46.876,11.4,4.8,3.8,0.7,1080,847.0
1750577015685,47.334,11.3,4.8,3.8,1.0,1080,218.1
1750577015689,60.627,11.5,4.9,3.7,1.2,1080,258.9
1750577015693,82.085,12.1,5.3,3.9,2.1,1080,225.8
1750577015696,48.751,11.1,4.7,3.7,0.6,1080,328.7
1750577015701,49.334,12.3,5.0,0.8,1.5,1080,234.7
1750577015705,48.251,11.8,5.0,0.7,1.3,1080,246.8
1750577015716,52.042,12.8,5.0,0.8,1.9,1080,85.9
1750577015717,35.751,10.8,4.9,0.5,0.5,1080,1135.2
1750577015721,47.042,11.7,4.8,3.8,1.0,1080,299.7
1750577015725,63.001,12.3,5.0,4.0,1.9,1080,225.3
1750577015730,49.960,11.5,4.9,3.8,1.1,1080,220.2
1750577015734,48.876,12.1,4.9,4.0,1.3,1080,231.7
1750577015737,48.167,11.2,4.7,3.8,0.8,1080,390.2
1750577015741,48.959,11.5,4.8,3.6,1.3,1080,244.7
1750577015745,48.293,11.9,4.8,3.8,1.2,1080,235.1
1750577015749,55.210,11.7,4.9,3.8,1.3,1080,218.6
1750577015753,51.418,12.2,5.0,4.0,1.5,1080,271.3
1750577015757,41.668,11.2,4.7,3.8,1.0,1080,239.8
1750577015761,44.500,11.0,4.8,0.3,1.4,1080,303.8
1750577015766,41.418,11.6,4.9,0.6,1.2,1080,197.7
1750577015770,44.501,12.2,4.8,0.7,1.3,1080,240.9
1750577015773,36.500,11.7,4.8,0.5,1.0,1080,336.4
1750577015777,35.334,11.5,4.6,0.5,1.2,1080,241.3
1750577015780,34.542,11.2,4.5,3.6,0.7,1080,281.5
1750577015785,42.376,12.0,5.0,4.0,1.1,1080,203.0
1750577015791,40.084,12.0,5.0,3.8,1.3,1080,177.1
1750577015793,40.876,11.5,5.0,3.8,1.2,1080,655.8
1750577015799,42.292,12.0,5.0,3.8,1.2,1080,165.6
1750577015805,45.751,11.9,4.8,0.8,1.2,1080,159.5
1750577015806,23.251,10.8,4.5,0.1,0.2,1080,1445.2
1750577015812,41.459,11.8,4.8,0.5,1.2,1080,154.2
1750577015813,25.459,10.8,4.5,0.2,0.4,1080,1542.1
1750577015817,44.792,11.9,4.8,0.7,1.5,1080,229.6
1750577015821,45.376,11.9,4.8,0.6,1.0,1080,280.5
1750577015825,37.709,10.9,4.5,0.2,0.2,1080,215.3
1750577015829,35.417,11.4,4.7,0.5,0.9,1080,253.7
1750577015834,44.626,12.1,4.9,0.5,1.0,1080,217.1
1750577015837,44.418,12.0,4.8,0.5,1.0,1080,336.1
1750577015840,38.334,11.2,4.7,0.4,0.6,1080,269.5
1750577015845,46.459,11.5,4.7,0.4,0.8,1080,233.2
1750577015850,54.334,12.1,4.7,4.3,1.6,1080,192.9
1750577015853,47.501,11.3,4.8,3.7,0.8,1080,356.3
1750577015857,33.459,11.1,4.7,3.5,0.3,1080,230.8
1750577015860,37.750,11.1,4.5,3.6,0.5,1080,295.6
1750577015871,44.543,12.3,4.9,0.6,1.3,1080,98.4
1750577015873,30.626,11.4,4.5,0.4,0.7,1080,363.0
1750577015877,38.959,11.8,4.9,0.8,1.6,1080,278.0
1750577015881,36.667,11.7,4.7,0.6,1.1,1080,267.9
1750577015884,38.375,11.1,4.3,0.3,0.5,1080,265.9
1750577015890,27.084,11.0,4.3,0.2,0.3,1080,197.3
1750577015900,56.585,12.2,4.9,3.7,1.3,1080,96.5
1750577015901,41.460,11.3,4.6,3.5,0.4,1080,1227.7
1750577015905,43.126,11.4,4.8,3.6,0.7,1080,263.7
1750577015909,44.459,12.2,5.0,4.2,1.4,1080,211.3
1750577015913,36.667,11.3,4.6,3.6,0.5,1080,262.2
1750577015917,44.626,11.5,4.8,3.7,1.1,1080,264.6
1750577015920,29.209,10.9,4.5,0.2,0.4,1080,274.9
1750577015926,34.917,12.0,4.8,0.2,0.6,1080,197.2
1750577015932,48.625,11.5,4.8,0.5,1.6,1080,155.1
1750577015933,66.418,11.9,4.9,0.6,1.4,1080,750.6
1750577015937,34.293,11.2,4.6,0.3,1.0,1080,307.2
1750577015941,48.876,11.9,4.8,0.5,1.2,1080,254.5
1750577015945,52.335,11.8,4.9,0.4,1.1,1080,242.3
1750577015950,36.751,11.8,4.9,3.8,0.6,1080,204.5
1750577015952,41.459,10.9,4.5,3.5,0.3,1080,349.5
1750577015957,45.292,11.6,4.9,4.0,0.9,1080,235.6
1750577015969,50.001,11.7,5.1,4.0,1.4,1080,82.2
1750577015973,42.917,11.7,5.0,0.5,1.5,1080,254.4
1750577015977,45.668,11.8,4.8,0.5,1.3,1080,248.5
1750577015980,30.626,10.9,4.4,0.2,0.3,1080,273.4
1750577015985,34.125,11.6,4.5,0.9,0.4,1080,245.3
1750577015989,44.043,11.3,4.7,0.3,0.8,1080,201.3
1750577015996,47.293,11.8,4.9,0.4,1.1,1080,165.1
1750577015996,33.292,10.9,4.4,0.1,0.2,1080,1028.0
1750577016001,43.835,11.6,4.7,0.3,1.1,1080,242.7
1750577016005,50.709,11.8,4.9,0.5,0.9,1080,248.5
1750577016009,53.376,12.1,5.3,4.0,1.7,1080,211.4
1750577016013,58.168,11.3,4.9,3.9,1.3,1080,306.1
1750577016017,43.793,11.2,4.6,4.0,0.9,1080,256.1
1750577016030,44.959,11.5,5.0,3.9,1.5,1080,73.7
1750577016033,39.459,11.5,5.0,3.8,1.0,1080,390.7
1750577016037,47.584,11.5,4.7,3.9,1.2,1080,249.9
1750577016041,48.584,11.6,5.1,0.5,1.5,1080,233.7
1750577016045,47.001,11.8,5.1,0.5,1.1,1080,271.5
1750577016052,52.418,12.2,5.2,0.5,1.8,1080,140.3
1750577016053,37.375,10.9,4.6,0.2,0.5,1080,785.8
1750577016057,49.043,11.3,4.7,0.7,1.2,1080,277.1
1750577016072,69.876,12.0,4.9,0.7,1.2,1080,64.2
1750577016073,31.917,11.3,4.4,0.2,0.3,1080,2334.1
1750577016077,50.667,12.0,5.1,0.7,1.5,1080,213.9
1750577016081,50.959,11.3,4.9,3.9,1.2,1080,289.8
1750577016085,79.876,11.5,30.6,4.2,1.0,1080,263.4
1750577016089,54.917,11.7,5.0,3.9,1.4,1080,210.5
1750577016093,54.918,12.1,5.1,4.0,1.4,1080,245.4
1750577016103,47.750,11.5,4.8,0.5,1.2,1080,106.7
1750577016107,37.917,11.2,4.6,0.5,1.3,1080,264.4
1750577016118,46.709,11.8,4.8,0.5,1.5,1080,91.5
1750577016121,45.459,11.5,4.8,0.5,1.2,1080,263.2
1750577016125,36.209,11.1,4.7,0.5,0.9,1080,305.2
1750577016129,47.376,11.6,4.9,4.0,1.2,1080,205.9
1750577016135,43.126,11.7,4.7,3.8,1.5,1080,165.2
1750577016142,45.668,12.2,4.7,0.6,1.4,1080,154.3
1750577016145,47.168,11.6,4.8,0.5,1.1,1080,362.3
1750577016149,42.084,12.6,4.7,0.5,1.2,1080,222.1
1750577016153,43.376,11.5,4.7,0.5,1.2,1080,243.4
1750577016157,43.084,11.2,4.7,0.5,1.0,1080,307.9
1750577016161,44.501,11.9,4.8,0.6,1.5,1080,235.8
1750577016165,42.126,11.6,4.8,0.5,1.5,1080,258.7
1750577016170,46.001,11.8,4.9,4.0,1.4,1080,185.3
1750577016173,49.251,11.9,4.8,3.8,1.8,1080,387.1
1750577016177,42.834,11.5,4.9,4.0,1.6,1080,212.8
1750577016182,51.418,11.3,4.8,3.9,1.1,1080,235.2
1750577016185,54.793,11.5,4.6,3.9,1.2,1080,321.2
1750577016189,45.584,11.2,4.8,3.8,1.1,1080,235.0
1750577016194,52.918,11.8,4.9,4.0,1.4,1080,218.7
1750577016197,48.251,11.2,4.5,3.6,1.3,1080,256.3
1750577016201,46.917,11.4,4.9,0.5,1.1,1080,318.2
1750577016205,45.085,11.6,4.8,0.6,1.3,1080,213.9
1750577016209,113.085,10.8,4.5,0.2,0.6,1080,244.2
1750577016213,41.376,11.2,4.6,0.8,0.8,1080,274.5
1750577016217,42.584,11.4,4.9,0.5,1.3,1080,280.3
1750577016220,36.168,11.1,4.6,0.4,0.8,1080,255.0
1750577016224,37.584,11.3,4.5,0.2,0.6,1080,250.7
1750577016231,50.334,11.6,4.7,0.5,1.2,1080,148.7
1750577016232,35.209,10.8,4.4,0.2,0.4,1080,844.5
1750577016237,55.709,11.8,5.1,0.5,1.6,1080,215.5
1750577016240,43.918,10.6,4.5,3.7,0.7,1080,289.3
1750577016250,68.293,11.6,4.9,4.0,1.6,1080,103.8
1750577016252,39.959,10.8,4.6,3.6,0.5,1080,701.8
1750577016252,40.418,10.8,4.4,3.8,0.4,1080,1123.9
1750577016258,200.920,42.9,5.3,4.5,1.7,1080,186.2
1750577016261,50.876,11.8,4.8,0.5,1.6,1080,332.1
1750577016266,90.460,13.9,5.0,0.7,1.4,1080,207.4
1750577016269,41.709,11.2,4.5,0.5,0.7,1080,301.2
1750577016273,39.168,11.0,4.4,0.2,0.3,1080,240.8
1750577016283,55.834,12.0,5.0,0.7,1.3,1080,105.2
1750577016284,50.418,11.0,4.6,0.4,0.3,1080,546.3
1750577016289,68.418,11.8,5.0,0.6,1.2,1080,215.1
1750577016293,64.043,12.0,4.8,0.5,1.2,1080,280.7
1750577016297,44.959,11.8,4.9,0.5,1.0,1080,244.9
1750577016301,51.418,11.7,4.9,3.9,1.2,1080,261.5
1750577016305,42.167,10.6,4.5,3.7,0.4,1080,221.7
1750577016309,52.335,12.0,4.9,3.8,1.3,1080,245.7
1750577016314,53.751,11.4,5.0,4.0,1.6,1080,216.4
1750577016317,45.042,11.3,4.8,4.0,1.2,1080,360.2
1750577016320,41.626,11.3,4.7,3.9,1.0,1080,255.3
1750577016325,55.918,12.1,5.0,3.9,1.2,1080,239.5
1750577016332,61.293,11.9,4.9,0.6,1.3,1080,145.6
1750577016333,38.918,10.8,4.5,0.2,0.4,1080,819.2
1750577016337,40.251,10.9,4.5,0.2,0.4,1080,223.5
1750577016341,50.293,12.1,4.9,0.5,1.3,1080,296.8
1750577016347,49.501,11.8,4.9,0.7,1.2,1080,145.1
1750577016349,41.168,11.0,4.5,3.7,0.6,1080,655.0
1750577016353,52.126,11.7,4.8,4.2,0.9,1080,283.4
1750577016357,55.168,11.6,4.6,4.2,1.3,1080,237.4
1750577016361,89.919,12.1,5.0,4.0,1.5,1080,252.9
1750577016365,52.293,11.4,4.9,4.0,1.0,1080,248.3
1750577016370,52.376,12.0,5.0,0.5,1.5,1080,196.2
1750577016373,41.459,11.1,4.8,0.5,1.1,1080,357.1
1750577016382,54.542,11.9,5.0,4.0,1.6,1080,108.3
1750577016385,48.710,11.5,4.9,4.0,0.9,1080,373.3
1750577016389,45.376,11.7,4.9,4.0,1.4,1080,213.5
1750577016393,45.376,11.7,4.8,4.2,1.2,1080,289.0
1750577016397,42.293,10.9,4.7,3.8,0.6,1080,254.7
1750577016401,46.626,11.8,4.9,3.9,1.1,1080,237.8
1750577016408,53.834,11.8,4.9,4.0,1.7,1080,132.9
1750577016410,28.167,11.0,4.5,3.7,0.4,1080,802.4
1750577016417,50.668,11.5,5.0,4.2,1.4,1080,135.3
1750577016421,63.793,12.2,4.9,4.0,1.5,1080,264.7
