timestamp,total_time_ms,preprocess_ms,find_gap_ms,find_best_point_ms,control_ms,scan_size,frequency_hz
1750584584025,0.039,0.014,0.004,0.004,0.001,1080,250.8
1750584584029,0.039,0.013,0.004,0.004,0.001,1080,244.7
1750584584033,0.039,0.014,0.005,0.004,0.001,1080,242.1
1750584584038,0.036,0.014,0.005,0.004,0.001,1080,200.8
1750584584041,0.049,0.017,0.005,0.004,0.000,1080,353.3
1750584584046,0.036,0.014,0.004,0.004,0.001,1080,211.4
1750584584049,0.037,0.014,0.004,0.004,0.001,1080,309.5
1750584584054,0.041,0.015,0.005,0.004,0.001,1080,208.9
1750584584057,0.033,0.013,0.004,0.004,0.001,1080,271.7
1750584584061,0.036,0.013,0.004,0.004,0.001,1080,278.0
1750584584065,0.050,0.014,0.005,0.004,0.001,1080,239.0
1750584584069,0.044,0.013,0.005,0.004,0.001,1080,267.6
1750584584074,0.038,0.014,0.005,0.004,0.000,1080,209.7
1750584584078,0.040,0.014,0.005,0.004,0.000,1080,240.8
1750584584081,0.052,0.015,0.005,0.004,0.001,1080,316.3
1750584584085,0.042,0.015,0.005,0.004,0.001,1080,246.7
1750584584089,0.044,0.014,0.005,0.004,0.001,1080,256.9
1750584584093,0.041,0.015,0.005,0.004,0.001,1080,242.1
1750584584097,0.048,0.014,0.005,0.004,0.001,1080,219.5
1750584584101,0.047,0.015,0.004,0.004,0.000,1080,257.8
1750584584105,0.037,0.014,0.004,0.004,0.000,1080,246.5
1750584584109,0.045,0.014,0.004,0.004,0.000,1080,299.2
1750584584113,0.047,0.015,0.005,0.004,0.001,1080,243.5
1750584584117,0.049,0.014,0.004,0.004,0.001,1080,224.6
1750584584121,0.042,0.013,0.004,0.004,0.001,1080,287.7
1750584584125,0.054,0.014,0.004,0.004,0.001,1080,243.4
1750584584129,0.053,0.014,0.005,0.004,0.002,1080,247.4
1750584584133,0.043,0.013,0.004,0.004,0.001,1080,220.1
1750584584138,0.039,0.015,0.005,0.004,0.000,1080,230.1
1750584584141,0.043,0.014,0.005,0.004,0.000,1080,289.8
1750584584145,0.047,0.015,0.005,0.004,0.001,1080,281.0
1750584584149,0.045,0.015,0.005,0.004,0.001,1080,251.3
1750584584153,0.038,0.014,0.004,0.004,0.001,1080,249.6
1750584584158,0.053,0.015,0.005,0.004,0.002,1080,206.5
1750584584161,0.065,0.014,0.005,0.004,0.001,1080,269.2
1750584584165,0.039,0.013,0.004,0.004,0.001,1080,246.3
1750584584169,0.033,0.013,0.004,0.004,0.000,1080,301.1
1750584584174,0.050,0.015,0.005,0.004,0.000,1080,206.8
1750584584177,0.046,0.015,0.005,0.004,0.001,1080,271.2
1750584584181,0.041,0.013,0.004,0.004,0.001,1080,284.2
1750584584185,0.037,0.013,0.004,0.004,0.001,1080,246.2
1750584584189,0.045,0.014,0.005,0.004,0.001,1080,244.3
1750584584193,0.048,0.014,0.005,0.004,0.001,1080,246.3
1750584584197,0.033,0.013,0.004,0.003,0.001,1080,225.2
1750584584201,0.035,0.014,0.004,0.004,0.000,1080,256.2
1750584584205,0.053,0.015,0.005,0.004,0.000,1080,247.0
